Title,Year,ID,Director 1,Director 2,Lead Actor,Supporting Actor,Genre 1,Genre 2,Genre 3,Length,ID,Jon,Shukanth,RT,iMDB,MC,Jake,Jeff,Letterboxd Link
Like Someone in Love,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/like-someone-in-love/
Hard Boiled,1992,,John Woo,,,,Asian,,,128,,,,,,,4.5,4.5,http://letterboxd.com/film/hard-boiled/
Hard Eight,1996,,Paul Thomas Anderson,,,,Suspense,,,102,,,,,,,,4,http://letterboxd.com/film/hard-eight/
Major Payne,1995,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/major-payne/
Man on Wire,2008,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/man-on-wire/
Harold & Kumar Go to White Castle,2004,,Danny Leiner,,,,Comedy,,,88,,,,,,,3,,http://letterboxd.com/film/harold-kumar-go-to-white-castle/
Metropolis,2001,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/metropolis-2001/
Hearts and Minds,1974,,Peter Davis,,,,Documentary,,,112,,,,,,,,,
Heat,1995,,Michael Mann,,,,Action,,,170,,,,86,83,76,5,5,http://letterboxd.com/film/heat-1995/
Heavenly Creatures,1994,,Peter Jackson,,,,Fantasy,,,99,,,,,,,,,
Hero,2002,,Yimou Zhang,,,,Asian,,,99,,,,,,,4,,http://letterboxd.com/film/hero-2002/
Mud,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/mud/
Nebraska,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/nebraska/
New World,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/new-world/
Ocean's Eleven,2001,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/oceans-eleven-2001/
Hoop Dreams,1994,,Steve James,,,,Documentary,,,170,,,,,,,,,
Only God Forgives,2013,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/only-god-forgives/
Oslo August 31st,2011,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/oslo-august-31st/
Out of Sight,1998,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/out-of-sight/
Hot Fuzz,2007,,Edgar Wright,,,,Comedy,,,121,,,,,,,3.5,4,http://letterboxd.com/film/hot-fuzz/
Hugo,2011,,Martin Scorsese,,,,Drama,,,126,,,,,,,3,4,http://letterboxd.com/film/hugo/
Pineapple Express,2008,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/pineapple-express/
Pitch Black,2000,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/pitch-black/
Human Nature,2001,,Michel Gondry,,,,Comedy,,,96,,,,,,,,,
I Heart Huckabees,2004,,David O. Russell,,,,Comedy,,,107,,,,,,,,4,http://letterboxd.com/film/i-heart-huckabees/
Ichi the Killer,2001,,Takashi Miike,,,,Asian,,,129,,,,,,,,,
In the Mood for Love,2000,,Wong Kar-wai,,,,Asian,,,98,,,,90,81,85,,5,http://letterboxd.com/film/in-the-mood-for-love/
Inception,2010,,Christopher Nolan,,,,Cerebral,,,148,,,,86,88,74,5,5,http://letterboxd.com/film/inception/
Independence Day,1996,,Roland Emmerich,,,,Science Fiction,,,145,,,,,,,4,4.5,http://letterboxd.com/film/independence-day/
Inglourious Basterds,2009,,Quentin Tarantino,,,,Action,,,153,,,,,,,4.5,4,http://letterboxd.com/film/inglourious-basterds/
Rise of the Planet of the Apes,2011,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/rise-of-the-planet-of-the-apes/
Into the Wild,2007,,Sean Penn,,,,Drama,,,148,,,,,,,3.5,,http://letterboxd.com/film/into-the-wild/
Invasion of the Body Snatchers,1978,,Philip Kaufman,,,,Science Fiction,,,115,,,,,,,,,
Iron Monkey,1993,,Woo-ping Yuen,,,,Asian,,,90,,,,,,,,,
Safety Not Guaranteed,2012,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/safety-not-guaranteed/
Secret Sunshine,2007,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/secret-sunshine/
Jerry Maguire,1996,,Cameron Crowe,,,,Romance,,,139,,,,85,73,77,4,5,http://letterboxd.com/film/jerry-maguire/
Shinsengumi: Assassins of Honor,1969,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/shinsengumi-assassins-of-honor/
Shotgun Stories,2007,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/shotgun-stories/
Side Effects,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/side-effects-2013/
Joint Security Area,2002,,Chan-wook Park,,,,Asian,,,110,,,,,,,,,
Juno,2007,,Jason Reitman,,,,Drama,,,96,,,,,,,,,
Solaris,1972,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/solaris/
Something from Nothing: The Art of Rap,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/something-from-nothing-the-art-of-rap/
Speed,1994,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/speed/
Kill Bill: Vol. 1,2003,,Quentin Tarantino,,,,Action,,,111,,,,82,85,69,5,5,http://letterboxd.com/film/kill-bill-vol-1/
Spring Breakers,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/spring-breakers/
Spy Game,2001,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/spy-game/
Star Trek Into Darkness,2013,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/star-trek-into-darkness/
Kill Bill: Vol. 2,2004,,Quentin Tarantino,,,,Action,,,136,,,,,,,5,4,http://letterboxd.com/film/kill-bill-vol-2/
Strangers on a Train,1951,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/strangers-on-a-train/
The Killer,1989,,John Woo,,,,Asian,,,111,,,,,,,,,
Sympathy for Lady Vengeance,2005,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/sympathy-for-lady-vengeance/
King of Beggars,1992,,Gordon Chan,,,,Asian,,,96,,,,,,,,,
Kiss Kiss Bang Bang,2005,,Shane Black,,,,Action,,,103,,,,,,,4.5,4,http://letterboxd.com/film/kiss-kiss-bang-bang-2005/
Kung Fu Hustle,2004,,Stephen Chow,,,,Asian,,,99,,,,,,,4,,http://letterboxd.com/film/kung-fu-hustle/
Taken,2008,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/taken/
The Big Lebowski,1998,,,,,,,,,,,,,,,,5,4,http://letterboxd.com/film/the-big-lebowski/
The Blues Brothers,1980,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-blues-brothers/
The Chaser,2008,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-chaser/
The Curious Case of Benjamin Button,2008,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/the-curious-case-of-benjamin-button/
The Darjeeling Limited,2007,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-darjeeling-limited/
The Dark Knight Rises,2012,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/the-dark-knight-rises/
The Emperor's New Groove,2000,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-emperors-new-groove/
The Five Obstructions,2003,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-five-obstructions/
The Fountain,2006,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/the-fountain/
The Girl with the Dragon Tattoo,2009,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-girl-with-the-dragon-tattoo/
The Girl with the Dragon Tattoo,2011,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
The Grand Budapest Hotel,2014,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-grand-budapest-hotel/
The Grandmaster,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-grandmaster/
The Hudsucker Proxy,1994,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-hudsucker-proxy/
The Informant!,2009,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/the-informant-2009/
The Killer,1989,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-killer/
The King of Kong: A Fistful of Quarters,2007,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-king-of-kong-a-fistful-of-quarters/
The Last Samurai,2003,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-last-samurai/
The Long Good Friday,1980,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-long-good-friday/
The Master,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-master-2012/
The Matrix Reloaded,2003,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-matrix-reloaded/
The Meaning of Life,1983,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-meaning-of-life-1983/
The Others,2001,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-others/
The Passion of the Christ,2004,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-passion-of-the-christ/
The Perks of Being a Wallflower,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-perks-of-being-a-wallflower/
The Place Beyond the Pines,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-place-beyond-the-pines/
The Princess Bride,1987,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-princess-bride/
The Proposition,2005,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-proposition-2005/
The Raid,2011,,,,,,,,,,,,,,,,5,4,http://letterboxd.com/film/the-raid-2011/
The Rock,1996,,,,,,,,,,,,,,,,5,4,http://letterboxd.com/film/the-rock/
The Seventh Seal,1957,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-seventh-seal/
The Sixth Sense,1999,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-sixth-sense/
The Skin I Live In,2011,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-skin-i-live-in/
The Social Network,2010,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/the-social-network/
The Usual Suspects,1995,,,,,,,,,,,,,,,,5,4,http://letterboxd.com/film/the-usual-suspects/
The Virgin Suicides,1999,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/the-virgin-suicides/
Thief,1981,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/thief/
L'Auberge Espagnole,2002,,Cédric Klapisch,,,,Drama,,,122,,,,,,,,,
Three Kings,1999,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/three-kings/
Tim's Vermeer,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/tims-vermeer/
Tiny Furniture,2010,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/tiny-furniture/
To the Wonder,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/to-the-wonder/
La Femme Nikita,1990,,Luc Besson,,,,Action,,,118,,,,,,,,,
La Haine,1995,,Mathieu Kassovitz,,,,Action,,,98,,,,,,,,,
Lady Vengeance,2005,,Chan-wook Park,,,,Asian,,,112,,,,,,,,,
Trading Places,1983,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/trading-places/
Leon: The Professional,1994,,Luc Besson,,,,Action,,,110,,,,71,86,,4,5,http://letterboxd.com/film/leon-the-professional/
Letters from Iwo Jima,2006,,Clint Eastwood,,,,Action,,,141,,,,,,,,4,http://letterboxd.com/film/letters-from-iwo-jima/
Little Children,2006,,Todd Field,,,,Drama,,,137,,,,,,,,4.5,http://letterboxd.com/film/little-children/
Valhalla Rising,2009,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/valhalla-rising/
Lock Stock and Two Smoking Barrels,1998,,Guy Ritchie,,,,Action,,,107,,,,,,,4.5,4,http://letterboxd.com/film/lock-stock-and-two-smoking-barrels/
Watchmen,2009,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/watchmen/
Way of the Dragon,1972,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/way-of-the-dragon/
Whatever Works,2009,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/whatever-works/
When Harry Met Sally...,1989,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/when-harry-met-sally/
Y tu mamá también,2001,,,,,,,,,,,,,,,,3,4,http://letterboxd.com/film/y-tu-mama-tambien/
Zelig,1983,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/zelig/
Lost in Translation,2003,,Sofia Coppola,,,,Drama,,,101,,,,95,78,89,3.5,5,http://letterboxd.com/film/lost-in-translation/
A Company Man,2012,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/a-company-man/
After the Wedding,2006,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/after-the-wedding/
Lupin the 3rd: The Castle of Cagliostro,1979,,Hayao Miyazaki,,,,Anime,,,110,,,,,,,,,
Amour,2012,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/amour/
Before Midnight,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/before-midnight/
Braveheart,1995,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/braveheart/
Caché,2005,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/cache/
Captain America: The First Avenger,2011,,,,,,,,,,,,,,,,3,3.5,http://letterboxd.com/film/captain-america-the-first-avenger/
Career Opportunities,1991,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/career-opportunities/
Certified Copy,2010,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/certified-copy/
Clear History,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/clear-history/
Computer Chess,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/computer-chess/
Days of Being Wild,1990,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/days-of-being-wild/
Django Unchained,2012,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/django-unchained/
DodgeBall,,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/dodgeball/
Dogtooth,2009,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/dogtooth/
Dogville,2003,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/dogville/
Drive,2011,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/drive-2011/
Elite Squad,2007,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/elite-squad/
eXistenZ,1999,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/existenz/
Fantastic Mr. Fox,2009,,,,,,,,,,,,,,,,3,3.5,http://letterboxd.com/film/fantastic-mr-fox/
Fantastic Voyage,1966,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/fantastic-voyage/
Lust Caution,2007,,Ang Lee,,,,Asian,,,157,,,,,,,,,
Flags of Our Fathers,2006,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/flags-of-our-fathers/
Frances Ha,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/frances-ha/
Ghost Town,2008,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/ghost-town/
Godzilla,2014,,,,,,,,,,,,,,,,2.5,3.5,http://letterboxd.com/film/godzilla-2014/
I Robot,2004,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/i-robot/
Insomnia,2002,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/insomnia-2002/
Iron Man,2008,,,,,,,,,,,,,,,,4.5,3.5,http://letterboxd.com/film/iron-man-2008/
Jack Reacher,2012,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/jack-reacher/
Jules and Jim,1962,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/jules-and-jim/
Just for Kicks,2005,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/just-for-kicks/
Killer Joe,2011,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/killer-joe/
Lawless,2012,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/lawless/
Little Miss Sunshine,2006,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/little-miss-sunshine/
Man of Steel,2013,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/man-of-steel/
Man on Fire,2004,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/man-on-fire-2004/
Marie Antoinette,2006,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/marie-antoinette-2006/
Memories of Murder,2003,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/memories-of-murder/
Men in Black 3,2012,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/men-in-black-3/
Midnight in Paris,2011,,,,,,,,,,,,,,,,3,3.5,http://letterboxd.com/film/midnight-in-paris/
Midnight Run,1988,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/midnight-run/
Mad Max 2: The Road Warrior,1981,,George Miller,,,,Action,,,95,,,,,,,4.5,4,http://letterboxd.com/film/mad-max-2-the-road-warrior/
Neighbors,2014,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/neighbors-2014/
Never Let Me Go,2010,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/never-let-me-go-2010/
Oblivion,2013,,,,,,,,,,,,,,,,4.5,3.5,http://letterboxd.com/film/oblivion-2013/
Once Upon a Time in Anatolia,2011,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/once-upon-a-time-in-anatolia/
Once Upon a Time in the West,1968,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/once-upon-a-time-in-the-west/
Poetry,2010,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/poetry/
Police Story 4: First Strike,1996,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/police-story-4-first-strike/
Prometheus,2012,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/prometheus/
Rush Hour,1998,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/rush-hour/
Scott Pilgrim vs. the World,2010,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/scott-pilgrim-vs-the-world/
Seven Psychopaths,2012,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/seven-psychopaths/
Star Trek,2009,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/star-trek/
Starship Troopers,1997,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/starship-troopers/
Sword of the Beast,1965,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/sword-of-the-beast/
The Bad Lieutenant: Port of Call - New Orleans,2009,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/the-bad-lieutenant-port-of-call-new-orleans/
The Dead Zone,1983,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/the-dead-zone/
The Hangover,2009,,,,,,,,,,,,,,,,4,3.5,http://letterboxd.com/film/the-hangover/
The Hunt,2012,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/the-hunt-2012/
The Past,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/the-past/
The Sapphires,2012,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/the-sapphires/
The Wind Rises,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/the-wind-rises/
The Wolf of Wall Street,2013,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/the-wolf-of-wall-street/
True Grit,2010,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/true-grit-2010/
Undertow,2004,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/undertow/
Upstream Color,2013,,,,,,,,,,,,,,,,,3.5,http://letterboxd.com/film/upstream-color/
V for Vendetta,2005,,,,,,,,,,,,,,,,3.5,3.5,http://letterboxd.com/film/v-for-vendetta/
Made,2001,,Jon Favreau,,,,Comedy,,,95,,,,,,,,,
300: Rise of an Empire,2014,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/300-rise-of-an-empire/
A Tale of Two Sisters,2003,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/a-tale-of-two-sisters/
Adaptation.,2002,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/adaptation/
Alien³,1992,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/alien-3/
Barcelona,1994,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/barcelona/
Blade II,2002,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/blade-ii/
Blue Is the Warmest Color,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/blue-is-the-warmest-color/
Captain America: The Winter Soldier,2014,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/captain-america-the-winter-soldier/
Casino,1995,,,,,,,,,,,,,,,,4.5,3,http://letterboxd.com/film/casino/
Cosmopolis,2012,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/cosmopolis/
Cube,1997,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/cube/
Days of Thunder,1990,,,,,,,,,,,,,,,,4.5,3,http://letterboxd.com/film/days-of-thunder/
Déjà Vu,2006,,,,,,,,,,,,,,,,3,3,http://letterboxd.com/film/deja-vu/
Election,1999,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/election/
Fast Five,2011,,,,,,,,,,,,,,,,2.5,3,http://letterboxd.com/film/fast-five/
Fish Tank,2009,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/fish-tank/
Greenberg,2010,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/greenberg/
Hara-Kiri: Death of a Samurai,2011,,,,,,,,,,,,,,,,4,3,http://letterboxd.com/film/hara-kiri-death-of-a-samurai/
Hellboy,2004,,,,,,,,,,,,,,,,2.5,3,http://letterboxd.com/film/hellboy/
Kicking and Screaming,1995,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/kicking-and-screaming/
Leviathan,2012,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/leviathan-2012/
Live Free or Die Hard,2007,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/live-free-or-die-hard/
Lockout,2012,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/lockout-2012/
Master of the Flying Guillotine,1976,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/film:15984/
Mission: Impossible - Ghost Protocol,2011,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/mission-impossible-ghost-protocol/
Newlyweeds,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/newlyweeds/
Ninja: Shadow of a Tear,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/ninja-shadow-of-a-tear/
O Brother Where Art Thou?,2000,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/o-brother-where-art-thou/
Oasis,2002,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/oasis/
Ocean's Twelve,2004,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/oceans-twelve/
Only Lovers Left Alive,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/only-lovers-left-alive/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
Planes Trains and Automobiles,1987,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/planes-trains-and-automobiles/
Prince Avalanche,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/prince-avalanche/
Raising Arizona,1987,,,,,,,,,,,,,,,,4,3,http://letterboxd.com/film/raising-arizona/
Reality Bites,1994,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/reality-bites/
Return to the 36th Chamber,1980,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/return-to-the-36th-chamber/
Rumble Fish,1983,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/rumble-fish/
Solaris,2002,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/solaris-2002/
Somewhere,2010,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/somewhere/
Stories We Tell,2012,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/stories-we-tell/
Stranger Than Fiction,2006,,,,,,,,,,,,,,,,4,3,http://letterboxd.com/film/stranger-than-fiction-2006/
Tabloid,2010,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/tabloid/
Terminator Salvation,2009,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/terminator-salvation/
The Avengers,2012,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/the-avengers-2012/
The Bling Ring,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-bling-ring/
