Title,Year,ID,Director 1,Director 2,Lead Actor,Supporting Actor,Genre 1,Genre 2,Genre 3,Length,ID,Jon,Shukanth,RT,iMDB,MC,Jake,Jeff,Letterboxd Link
The Cabin in the Woods,2012,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-cabin-in-the-woods/
The Commitments,1991,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-commitments/
The Evil Dead,1981,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-evil-dead/
The Fighter,2010,,,,,,,,,,,,,,,,3,3,http://letterboxd.com/film/the-fighter-2010/
The Fisher King,1991,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-fisher-king/
The Game,1997,,,,,,,,,,,,,,,,4,3,http://letterboxd.com/film/the-game/
The Good The Bad The Weird,2008,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-good-the-bad-the-weird/
The Hitchhiker's Guide to the Galaxy,2005,,,,,,,,,,,,,,,,4,3,http://letterboxd.com/film/the-hitchhikers-guide-to-the-galaxy-2005/
The Imposter,2012,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-imposter-2012/
The Ladykillers,2004,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-ladykillers-2004-6/
The Last Days of Disco,1998,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-last-days-of-disco/
The Life Aquatic With Steve Zissou,2004,,,,,,,,,,,,,,,,3,3,http://letterboxd.com/film/the-life-aquatic-with-steve-zissou/
The Muppets,2011,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-muppets/
The Prestige,2006,,,,,,,,,,,,,,,,2.5,3,http://letterboxd.com/film/the-prestige/
The Spectacular Now,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-spectacular-now/
The Way Way Back,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-way-way-back/
The World's End,2013,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/the-worlds-end/
Thirst,2009,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/thirst-2009/
This Is Not a Film,2011,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/this-is-not-a-film/
Toy Story 2,1999,,,,,,,,,,,,,,,,4,3,http://letterboxd.com/film/toy-story-2/
Unstoppable,2010,,,,,,,,,,,,,,,,2.5,3,http://letterboxd.com/film/unstoppable-2010/
Up,2009,,,,,,,,,,,,,,,,3.5,3,http://letterboxd.com/film/up/
Vertigo,1958,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/vertigo/
WALL·E,2008,,,,,,,,,,,,,,,,4.5,3,http://letterboxd.com/film/walle/
Wristcutters: A Love Story,2006,,,,,,,,,,,,,,,,,3,http://letterboxd.com/film/wristcutters-a-love-story/
Crash,2004,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/crash-2004/
Evangelion: 3.0 You Can (Not) Redo,2012,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/evangelion-30-you-can-not-redo/
Headhunters,2011,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/headhunters/
I'm a Cyborg But That's OK,2006,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/im-a-cyborg-but-thats-ok/
Jeff Who Lives at Home,2011,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/jeff-who-lives-at-home/
Kick-Ass,2010,,,,,,,,,,,,,,,,3,2,http://letterboxd.com/film/kick-ass/
Looper,2012,,,,,,,,,,,,,,,,3.5,2,http://letterboxd.com/film/looper/
Lord of War,2005,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/lord-of-war/
Moonrise Kingdom,2012,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/moonrise-kingdom/
Mother,2009,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/mother-2009/
Noah,2014,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/noah/
Pacific Rim,2013,,,,,,,,,,,,,,,,3.5,2,http://letterboxd.com/film/pacific-rim/
Savages,2012,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/savages-2012/
Silver Linings Playbook,2012,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/silver-linings-playbook/
Sour Grapes,1998,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/sour-grapes/
Stoker,2013,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/stoker/
Submarine,2010,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/submarine/
The Crying Game,1992,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/the-crying-game/
The Fall,2006,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/the-fall/
The Loneliest Planet,2011,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/the-loneliest-planet/
The Man with the Iron Fists,2012,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/the-man-with-the-iron-fists/
The Matrix Revolutions,2003,,,,,,,,,,,,,,,,4,2,http://letterboxd.com/film/the-matrix-revolutions/
The Running Man,1987,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/the-running-man/
Trance,2013,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/trance/
X-Men: First Class,2011,,,,,,,,,,,,,,,,,2,http://letterboxd.com/film/x-men-first-class/
Sleeper,1973,,,,,,,,,,,,,,,,,1,http://letterboxd.com/film/sleeper/
Source Code,2011,,,,,,,,,,,,,,,,3.5,1,http://letterboxd.com/film/source-code/
Your Highness,2011,,,,,,,,,,,,,,,,,1,http://letterboxd.com/film/your-highness/
21,2008,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/21/
Magnolia,1999,,Paul Thomas Anderson,,,,Drama,,,188,,,,84,80,77,,5,http://letterboxd.com/film/magnolia/
Manhattan,1979,,Woody Allen,,,,Drama,,,96,,,,,,,,4,http://letterboxd.com/film/manhattan/
Martha Marcy May Marlene,2011,,Sean Durkin,,,,Suspense,,,102,,,,,,,,,
2 Guns,2013,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/2-guns/
Marwencol,2010,,Jeff Malmberg,,,,Documentary,,,83,,,,,,,,,
28 Weeks Later,2007,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/28-weeks-later/
Mean Streets,1973,,Martin Scorsese,,,,Action,,,112,,,,,,,,,
Memento,2000,,Christopher Nolan,,,,Cerebral,,,113,,,,92,85,80,5,5,http://letterboxd.com/film/memento/
Metropolitan,1990,,Whit Stillman,,,,Comedy,,,98,,,,,,,,4.5,http://letterboxd.com/film/metropolitan/
50 First Dates,2004,,,,,,,,,,,,,,,,2,,http://letterboxd.com/film/50-first-dates/
8 Mile,2002,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/8-mile/
A Beautiful Mind,2001,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/a-beautiful-mind/
A Bug's Life,1998,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/a-bugs-life/
Ace Ventura: Pet Detective,1994,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/ace-ventura-pet-detective/
Air Force One,1997,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/air-force-one/
Airplane!,1980,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/airplane/
Microcosmos,1996,,Claude Nuridsany,Marie Pérennou,,,Documentary,,,80,,,,97,79,,4,5,http://letterboxd.com/film/microcosmos/
Aladdin,1992,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/aladdin/
Miller's Crossing,1990,,Coen Brothers,,,,Action,,,115,,,,,,,,4.5,http://letterboxd.com/film/millers-crossing/
American Gangster,2007,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/american-gangster/
Million Dollar Baby,2004,,Clint Eastwood,,,,Drama,,,132,,,,,,,3.5,,http://letterboxd.com/film/million-dollar-baby/
Anchorman 2: The Legend Continues,2013,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/anchorman-2-the-legend-continues/
Anchorman: The Legend of Ron Burgundy,2004,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/anchorman-the-legend-of-ron-burgundy/
Antz,1998,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/antz/
Minority Report,2002,,Steven Spielberg,,,,Action,,,145,,,,,,,4.5,4,http://letterboxd.com/film/minority-report/
Armageddon,1998,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/armageddon/
As Good as It Gets,1997,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/as-good-as-it-gets/
Mission: Impossible,1996,,Brian De Palma,,,,Action,,,110,,,,,,,4.5,4,http://letterboxd.com/film/mission-impossible/
Austin Powers: International Man of Mystery,1997,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/austin-powers-international-man-of-mystery/
Babe,1995,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/babe/
Babel,2006,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/babel-2006/
Back to the Future,1985,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/back-to-the-future/
Baraka,1992,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/baraka/
Batman Forever,1995,,,,,,,,,,,,,,,,1,,http://letterboxd.com/film/batman-forever/
Mission: Impossible III,2006,,J.J. Abrams,,,,Action,,,126,,,,,,,4.5,4,http://letterboxd.com/film/mission-impossible-iii/
Beetlejuice,1988,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/beetlejuice/
Big Daddy,1999,,,,,,,,,,,,,,,,2,,http://letterboxd.com/film/big-daddy/
Moon,2009,,Duncan Jones,,,,Science Fiction,,,97,,,,,,,4,4,http://letterboxd.com/film/moon/
Big Trouble in Little China,1986,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/big-trouble-in-little-china/
Mulholland Dr.,2001,,David Lynch,,,,Cerebral,,,147,,,,,,,,4.5,http://letterboxd.com/film/mulholland-drive/
Blood Diamond,2006,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/blood-diamond/
My Neighbor Totoro,1988,,Hayao Miyazaki,,,,Anime,,,86,,,,92,83,,,5,http://letterboxd.com/film/my-neighbor-totoro/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/
Natural Born Killers,1994,,Oliver Stone,,,,Action,,,118,,,,,,,3.5,3.5,http://letterboxd.com/film/natural-born-killers/
Ninja Scroll,1995,,Yoshiaki Kawajiri,,,,Anime,,,94,,,,,,,,,
No Country for Old Men,2007,,Coen Brothers,,,,Suspense,,,122,,,,,,,5,4.5,http://letterboxd.com/film/no-country-for-old-men/
North by Northwest,1959,,Alfred Hitchcock,,,,Drama,,,136,,,,,,,3.5,,http://letterboxd.com/film/north-by-northwest/
Office Space,1999,,Mike Judge,,,,Comedy,,,89,,,,,,,4.5,4,http://letterboxd.com/film/office-space/
Bronson,2008,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/bronson/
Bruce Almighty,2003,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/bruce-almighty/
Old School,2003,,Todd Phillips,,,,Comedy,,,91,,,,,,,,,
Butch Cassidy and the Sundance Kid,1969,,,,,,,,,,,,,,,,5,,http://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/
Captain Phillips,2013,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/captain-phillips/
Casino Royale,2006,,,,,,,,,,,,,,,,2,,http://letterboxd.com/film/casino-royale-2006/
Castaway on the Moon,2009,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/castaway-on-the-moon/
Catch Me If You Can,2002,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/catch-me-if-you-can-2002/
Charlie and the Chocolate Factory,2005,,,,,,,,,,,,,,,,2,,http://letterboxd.com/film/charlie-and-the-chocolate-factory/
Oldboy,2003,,Chan-wook Park,,,,Asian,,,120,,,,,,,3.5,4.5,http://letterboxd.com/film/oldboy/
One Fine Day,1996,,Michael Hoffman,,,,Romance,,,108,,,,,,,,,
Ong-Bak: The Thai Warrior,2003,,Prachya Pinkaew,,,,Asian,,,105,,,,,,,,,
Operation Condor,1991,,Jackie Chan,,,,Action,,,106,,,,,,,,,
Pan's Labyrinth,2006,,Guillermo del Toro,,,,Fantasy,,,118,,,,,,,3.5,4.5,http://letterboxd.com/film/pans-labyrinth/
Paprika,2006,,Satoshi Kon,,,,Anime,,,90,,,,,,,,4,http://letterboxd.com/film/paprika-2006/
Close Encounters of the Third Kind,1977,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/close-encounters-of-the-third-kind/
Peppermint Candy,1999,,Chang-dong Lee,,,,Asian,,,129,,,,83,,,,5,http://letterboxd.com/film/peppermint-candy/
Cloverfield,2008,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/cloverfield/
Perfect Blue,1997,,Satoshi Kon,,,,Anime,,,81,,,,,,,3.5,,http://letterboxd.com/film/perfect-blue/
Persona,1966,,Ingmar Bergman,,,,Cerebral,,,85,,,,,,,,4,http://letterboxd.com/film/persona/
Pi,1998,,Darren Aronofsky,,,,Cerebral,,,84,,,,,,,4,4.5,http://letterboxd.com/film/pi/
Con Air,1997,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/con-air/
Contact,1997,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/contact/
Cool Hand Luke,1967,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/cool-hand-luke/
Planet of the Apes,1968,,Franklin J. Schaffner,,,,Science Fiction,,,112,,,,,,,,,
Point Break,1991,,Kathryn Bigelow,,,,Action,,,120,,,,,,,4,4,http://letterboxd.com/film/point-break/
Dallas Buyers Club,2013,,,,,,,,,,,,,,,,4.5,,http://letterboxd.com/film/dallas-buyers-club/
Dances with Wolves,1990,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/dances-with-wolves/
Police Story,1985,,Jackie Chan,,,,Action,,,101,,,,,,,,4,http://letterboxd.com/film/police-story/
Pretty Woman,1990,,Garry Marshall,,,,Romance,,,119,,,,,,,,,
Primer,2004,,Shane Carruth,,,,Science Fiction,,,77,,,,72,70,68,4.5,5,http://letterboxd.com/film/primer/
Princess Mononoke,1997,,Hayao Miyazaki,,,,Anime,,,134,,,,,,,3.5,4,http://letterboxd.com/film/princess-mononoke/
Dawn of the Dead,1978,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/dawn-of-the-dead/
Project Nim,2011,,James Marsh,,,,Documentary,,,93,,,,,,,,4,http://letterboxd.com/film/project-nim/
Deliverance,1972,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/deliverance/
Demolition Man,1993,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/demolition-man/
Pulp Fiction,1994,,Quentin Tarantino,,,,Action,,,154,,,,94,90,94,5,5,http://letterboxd.com/film/pulp-fiction/
Desperado,1995,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/desperado/
Despicable Me,2010,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/despicable-me/
Die Hard 2,1990,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/die-hard-2/
Die Hard: With a Vengeance,1995,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/die-hard-with-a-vengeance/
District 9,2009,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/district-9/
Punch-Drunk Love,2002,,Paul Thomas Anderson,,,,Dark Comedy,,,95,,,,79,73,78,3,5,http://letterboxd.com/film/punch-drunk-love/
Dogma,1999,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/dogma/
Pusher,1996,,Nicolas Winding Refn,,,,Action,,,105,,,,,,,,,
Dredd,2012,,,,,,,,,,,,,,,,4.5,,http://letterboxd.com/film/dredd/
E.T. the Extra-Terrestrial,1982,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/et-the-extra-terrestrial/
Easy Rider,1969,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/easy-rider/
Eddie Izzard: Dress to Kill,1999,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/eddie-izzard-dress-to-kill/
Edward Scissorhands,1990,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/edward-scissorhands/
Pusher 2: With Blood on My Hands,2004,,Nicolas Winding Refn,,,,Action,,,100,,,,,,,,,
Elf,2003,,,,,,,,,,,,,,,,1.5,,http://letterboxd.com/film/elf/
Elysium,2013,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/elysium-2013/
Pusher 3: I'm the Angel of Death,2005,,Nicolas Winding Refn,,,,Action,,,90,,,,,,,,,
Ender's Game,2013,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/enders-game/
Raging Bull,1980,,Martin Scorsese,,,,Drama,,,129,,,,98,,92,,5,http://letterboxd.com/film/raging-bull/
Enter the Void,2009,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/enter-the-void/
Rain Man,1988,,Barry Levinson,,,,Drama,,,133,,,,,,,3.5,4.5,http://letterboxd.com/film/rain-man/
Escape from New York,1981,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/escape-from-new-york/
Event Horizon,1997,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/event-horizon/
Face/Off,1997,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/face-off/
Falling Down,1993,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/falling-down/
Fantastic 4: Rise of the Silver Surfer,2007,,,,,,,,,,,,,,,,1.5,,http://letterboxd.com/film/fantastic-4-rise-of-the-silver-surfer/
Fast & Furious,2009,,,,,,,,,,,,,,,,5,,http://letterboxd.com/film/fast-furious/
Fast & Furious 6,2013,,,,,,,,,,,,,,,,2,,http://letterboxd.com/film/fast-furious-6/
Raise the Red Lantern,1991,,Yimou Zhang,,,,Asian,,,125,,,,,,,,,
First Blood,1982,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/first-blood/
Ran,1985,,Akira Kurosawa,,,,Asian,,,162,,,,,,,,4,http://letterboxd.com/film/ran/
FLCL,2000,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/flcl/
Rashomon,1950,,Akira Kurosawa,,,,Asian,,,88,,,,,,,,4,http://letterboxd.com/film/rashomon/
Ratatouille,2007,,Brad Bird,,,,Comedy,,,111,,,,,,,4,4,http://letterboxd.com/film/ratatouille/
Requiem for a Dream,2000,,Darren Aronofsky,,,,Cerebral,,,102,,,,78,84,68,,5,http://letterboxd.com/film/requiem-for-a-dream/
From Dusk Till Dawn,1995,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/from-dusk-till-dawn/
Reservoir Dogs,1992,,Quentin Tarantino,,,,Action,,,99,,,,92,84,78,5,5,http://letterboxd.com/film/reservoir-dogs/
Rocky,1976,,John G. Avildsen,,,,Action,,,119,,,,,,,4.5,4,http://letterboxd.com/film/rocky/
Gangs of New York,2002,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/gangs-of-new-york-2002/
Rocky II,1979,,Sylvester Stallone,,,,Action,,,119,,,,,,,,,
Ronin,1998,,John Frankenheimer,,,,Action,,,122,,,,,,,4.5,5,http://letterboxd.com/film/ronin/
Rounders,1998,,John Dahl,,,,Drama,,,121,,,,,,,,4,http://letterboxd.com/film/rounders/
Ghostbusters,1984,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/ghostbusters/
Run Lola Run,1998,,Tom Tykwer,,,,Action,,,81,,,,,,,4,4,http://letterboxd.com/film/run-lola-run/
Rurouni Kenshin,2000,,Kazuhiro Furuhashi,,,,Anime,,,120,,,,,,,,,
Rushmore,1998,,Wes Anderson,,,,Comedy,,,93,,,,89,78,86,4,5,http://letterboxd.com/film/rushmore/
Gone In Sixty Seconds,2000,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/gone-in-sixty-seconds/
Good Night and Good Luck.,2005,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/good-night-and-good-luck/
Samurai 1: Musashi Miyamoto,1954,,Hiroshi Inagaki,,,,Asian,,,93,,,,,,,,,
Gran Torino,2008,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/gran-torino/
Grease,1978,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/grease/
Samurai 2: Duel at Ichijoji Temple,1955,,Hiroshi Inagaki,,,,Asian,,,104,,,,,,,,,
Sansho the Bailiff,1954,,Kenji Mizoguchi,,,,Asian,,,124,,,,,,,,,
Say Anything,1989,,Cameron Crowe,,,,Comedy,,,100,,,,,,,,4.5,http://letterboxd.com/film/say-anything/
Scratch,2002,,Doug Pray,,,,Documentary,,,92,,,,,,,,,
Hancock,2008,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/hancock/
Happy Gilmore,1996,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/happy-gilmore/
Scream,1996,,Wes Craven,,,,Horror,,,111,,,,,,,3,,http://letterboxd.com/film/scream/
Haywire,2012,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/haywire/
Se7en,1995,,David Fincher,,,,Action,,,127,,,,,,,4.5,4.5,http://letterboxd.com/film/se7en/
Session 9,2001,,Brad Anderson,,,,Horror,,,100,,,,,,,,,
Seven Samurai,1954,,Akira Kurosawa,,,,Asian,,,207,,,,,,,4.5,,http://letterboxd.com/film/seven-samurai/
Shaun of the Dead,2004,,Edgar Wright,,,,Horror,,,99,,,,,,,4,4,http://letterboxd.com/film/shaun-of-the-dead/
Home Alone,1990,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/home-alone/
Home Alone 2: Lost In New York,1992,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/home-alone-2-lost-in-new-york/
Shogun Assassin,1980,,Kenji Misumi,,,,Asian,,,85,,,,,,,,,
How to Train Your Dragon,2010,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/how-to-train-your-dragon/
Sin City,2005,,Robert Rodriguez,,,,Action,,,124,,,,78,82,74,4.5,5,http://letterboxd.com/film/sin-city/
Hulk,2003,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/hulk/
Singles,1992,,Cameron Crowe,,,,Comedy,,,99,,,,,,,,4,http://letterboxd.com/film/singles/
Slacker,1991,,Richard Linklater,,,,Cerebral,,,97,,,,,,,,,
I Am Legend,2007,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/i-am-legend/
Ice Age,2002,,,,,,,,,,,,,,,,2,,http://letterboxd.com/film/ice-age/
Slumdog Millionaire,2008,,Danny Boyle,,,,Drama,,,120,,,,,,,4,4.5,http://letterboxd.com/film/slumdog-millionaire/
Indiana Jones and the Kingdom of the Crystal Skull,2008,,,,,,,,,,,,,,,,2.5,,http://letterboxd.com/film/indiana-jones-and-the-kingdom-of-the-crystal-skull/
Indiana Jones and the Last Crusade,1989,,,,,,,,,,,,,,,,4.5,,http://letterboxd.com/film/indiana-jones-and-the-last-crusade/
Indiana Jones and the Temple of Doom,1984,,,,,,,,,,,,,,,,4.5,,http://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
Indie Game: The Movie,2012,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/indie-game-the-movie/
Infernal Affairs,2002,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/infernal-affairs/
Inside Man,2006,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/inside-man/
Snatch,2000,,Guy Ritchie,,,,Action,,,104,,,,,,,5,4,http://letterboxd.com/film/snatch/
Sneakers,1992,,Phil Alden Robinson,,,,Comedy,,,126,,,,,,,,,
Snow Angels,2007,,David Gordon Green,,,,Drama,,,,,,,,,,,4.5,http://letterboxd.com/film/snow-angels/
Iron Man 2,2010,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/iron-man-2/
Iron Man 3,2013,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/iron-man-3/
Spirited Away,2001,,Hayao Miyazaki,,,,Anime,,,,,,,,,,3.5,4,http://letterboxd.com/film/spirited-away/
Jaws,1975,,,,,,,,,,,,,,,,4,,http://letterboxd.com/film/jaws/
Jay and Silent Bob Strike Back,2001,,,,,,,,,,,,,,,,3,,http://letterboxd.com/film/jay-and-silent-bob-strike-back/
Jodorowsky's Dune,2013,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/jodorowskys-dune/
Stranger Than Paradise,1984,,Jim Jarmusch,,,,Drama,,,,,,,,,,,4,http://letterboxd.com/film/stranger-than-paradise/
Jumanji,1995,,,,,,,,,,,,,,,,1.5,,http://letterboxd.com/film/jumanji/
Jumper,2008,,,,,,,,,,,,,,,,3.5,,http://letterboxd.com/film/jumper/
Stripes,1981,,Ivan Reitman,,,,Comedy,,,,,,,,,,,4,http://letterboxd.com/film/stripes/
